metadata: N/A
[1489235906.66, 71.31]
[1489235906.77, 30.3]
[1489235906.88, 70.49]
[1489235906.98, 70.93]
[1489235907.09, 71.33]
[1489235907.19, 71.47]
[1489235907.3, 18.8]
[1489235907.4, 70.86]
[1489235907.51, 72.12]
[1489235907.62, 72.99]
[1489235907.72, 72.54]
[1489235907.83, 75.91]
[1489235907.93, 75.86]
[1489235908.04, 74.23]
[1489235908.14, 73.01]
[1489235908.25, 71.36]
[1489235908.35, 72.46]
[1489235908.46, 72.17]
[1489235908.56, 75.89]
[1489235908.67, 71.76]
[1489235908.77, 71.77]
[1489235908.88, 71.2]
[1489235908.99, 70.68]
[1489235909.09, 71.38]
[1489235909.2, 78.44]
[1489235909.3, 70.54]
[1489235909.41, 70.97]
[1489235909.51, 71.36]
[1489235909.62, 71.79]
[1489235909.72, 71.36]
[1489235909.83, 75.94]
[1489235909.93, 71.41]
[1489235910.04, 71.88]
[1489235910.14, 71.79]
[1489235910.25, 73.82]
[1489235910.35, 72.58]
[1489235910.46, 73.4]
[1489235910.56, 73.73]
[1489235910.67, 73.28]
[1489235910.77, 75.44]
[1489235910.88, 75.98]
[1489235910.98, 76.28]
[1489235911.09, 72.99]
[1489235911.19, 45.43]
[1489235911.3, 71.7]
[1489235911.41, 72.13]
[1489235911.51, 72.51]
[1489235911.62, 75.44]
[1489235911.72, 72.54]
[1489235911.83, 75.46]
[1489235911.93, 74.21]
[1489235912.04, 71.21]
[1489235912.14, 73.04]
[1489235912.25, 72.56]
[1489235912.35, 71.26]
[1489235912.46, 71.7]
[1489235912.56, 70.88]
[1489235912.67, 71.7]
[1489235912.77, 70.31]
[1489235912.88, 74.0]
[1489235912.98, 72.53]
[1489235913.09, 72.51]
[1489235913.19, 71.33]
[1489235913.3, 70.49]
[1489235913.4, 70.91]
[1489235913.51, 70.5]
[1489235913.61, 70.92]
[1489235913.72, 66.88]
[1489235913.82, 73.44]
[1489235913.93, 72.78]
[1489235914.04, 77.11]
[1489235914.14, 74.21]
[1489235914.25, 71.44]
[1489235914.35, 72.25]
[1489235914.46, 75.7]
[1489235914.57, 71.53]
[1489235914.67, 71.98]
[1489235914.78, 75.05]
[1489235914.88, 75.72]
[1489235914.99, 76.08]
[1489235915.09, 71.89]
[1489235915.2, 70.61]
[1489235915.3, 71.48]
[1489235915.41, 71.04]
[1489235915.51, 71.84]
[1489235915.62, 72.29]
[1489235915.72, 72.3]
[1489235915.83, 76.03]
[1489235915.93, 72.72]
[1489235916.04, 71.41]
[1489235916.14, 71.43]
[1489235916.25, 71.84]
[1489235916.35, 71.79]
[1489235916.46, 70.93]
[1489235916.56, 71.34]
[1489235916.67, 70.52]
[1489235916.77, 68.53]
[1489235916.88, 72.2]
[1489235916.98, 72.23]
[1489235917.09, 65.96]
[1489235917.19, 98.51]
[1489235917.3, 73.02]
[1489235917.41, 72.2]
[1489235917.51, 71.76]
[1489235917.62, 70.54]
[1489235917.72, 71.36]
[1489235917.83, 73.83]
[1489235917.94, 75.05]
[1489235918.04, 76.99]
[1489235918.15, 74.62]
[1489235918.25, 75.46]
[1489235918.36, 74.98]
[1489235918.46, 74.98]
[1489235918.57, 74.59]
[1489235918.67, 76.71]
[1489235918.78, 75.84]
[1489235918.88, 76.06]
[1489235918.99, 76.02]
[1489235919.09, 76.02]
[1489235919.2, 76.08]
[1489235919.3, 74.79]
[1489235919.41, 76.45]
[1489235919.51, 76.56]
[1489235919.62, 75.34]
[1489235919.73, 75.74]
[1489235919.83, 76.27]
[1489235919.94, 75.84]
[1489235920.04, 76.64]
[1489235920.15, 76.25]
[1489235920.25, 75.49]
[1489235920.36, 75.91]
[1489235920.46, 76.71]
[1489235920.57, 76.31]
[1489235920.67, 76.73]
[1489235920.78, 77.16]
[1489235920.88, 78.41]
[1489235920.99, 77.59]
[1489235921.1, 77.12]
[1489235921.2, 76.71]
[1489235921.31, 76.32]
[1489235921.41, 75.84]
[1489235921.52, 77.95]
[1489235921.62, 77.12]
[1489235921.73, 76.21]
[1489235921.83, 76.21]
[1489235921.94, 75.39]
[1489235922.05, 76.22]
[1489235922.15, 77.02]
[1489235922.27, 76.18]
[1489235922.38, 77.89]
[1489235922.48, 76.59]
